date,flight_turkey
2016-01,39
2016-02,37
2016-03,36
2016-04,36
2016-05,46
2016-06,58
2016-07,88
2016-08,41
2016-09,36
2016-10,36
2016-11,35
2016-12,36
2017-01,38
2017-02,32
2017-03,40
2017-04,44
2017-05,51
2017-06,51
2017-07,65
2017-08,50
2017-09,52
2017-10,48
2017-11,47
2017-12,45
2018-01,54
2018-02,52
2018-03,57
2018-04,64
2018-05,68
2018-06,74
2018-07,82
2018-08,76
2018-09,72
2018-10,67
2018-11,58
2018-12,50
2019-01,62
2019-02,59
2019-03,63
2019-04,70
2019-05,74
2019-06,100
2019-07,98
2019-08,93
2019-09,86
2019-10,71
2019-11,65
2019-12,61
2020-01,73
2020-02,66
2020-03,68
2020-04,29
2020-05,30
2020-06,40
2020-07,55
2020-08,67
2020-09,67
2020-10,48
2020-11,44
2020-12,43
2021-01,40
2021-02,41
2021-03,46
2021-04,50
2021-05,51
2021-06,58
2021-07,71
2021-08,64
2021-09,65
2021-10,73
2021-11,76
2021-12,74
