date,holiday_turkey
2016-01,15
2016-02,26
2016-03,16
2016-04,35
2016-05,67
2016-06,76
2016-07,75
2016-08,60
2016-09,44
2016-10,46
2016-11,18
2016-12,19
2017-01,15
2017-02,36
2017-03,33
2017-04,52
2017-05,83
2017-06,68
2017-07,57
2017-08,93
2017-09,46
2017-10,37
2017-11,21
2017-12,15
2018-01,13
2018-02,22
2018-03,27
2018-04,37
2018-05,63
2018-06,70
2018-07,71
2018-08,79
2018-09,51
2018-10,49
2018-11,18
2018-12,19
2019-01,24
2019-02,38
2019-03,25
2019-04,50
2019-05,83
2019-06,83
2019-07,100
2019-08,84
2019-09,66
2019-10,62
2019-11,20
2019-12,22
2020-01,18
2020-02,30
2020-03,29
2020-04,26
2020-05,37
2020-06,23
2020-07,48
2020-08,76
2020-09,50
2020-10,50
2020-11,16
2020-12,13
2021-01,10
2021-02,12
2021-03,19
2021-04,32
2021-05,51
2021-06,26
2021-07,59
2021-08,41
2021-09,28
2021-10,44
2021-11,29
2021-12,23
